match_id,role,raw_name,mapped_name,canonical_athlete_id,sex,weight_class,year
2297,winner,Alexandre Ribeiro,Alexandre Ribeiro,athlete_alexandre-ribeiro-m,M,ABS,2009
2297,loser,Ricco Rodriguez,Ricco Rodriguez,athlete_ricco-rodriguez-m,M,ABS,2009
2301,winner,Alexandre Ribeiro,Alexandre Ribeiro,athlete_alexandre-ribeiro-m,M,ABS,2009
2301,loser,Andre Galvao,Andre Galvao,athlete_andre-galvao-m,M,ABS,2009
3318,winner,Alexandre Ribeiro,Alexandre Ribeiro,athlete_alexandre-ribeiro-m,M,ABS,2011
3318,loser,Murilo Santana,Murilo Santana,athlete_murilo-santana-m,M,ABS,2011
13881,winner,Alexandre Ribeiro,Alexandre Ribeiro,athlete_alexandre-ribeiro-m,M,88KG,2017
13881,loser,John Salter,John Salter,athlete_john-salter-m,M,88KG,2017
13890,winner,Alexandre Ribeiro,Alexandre Ribeiro,athlete_alexandre-ribeiro-m,M,88KG,2017
13890,loser,Craig Jones,Craig Jones,athlete_craig-jones-m,M,88KG,2017
35082,winner,Amy Campo,Amy Campo,athlete_amy-campo-f,F,+60KG,2022
35082,loser,Elisabeth Clay,Elisabeth Clay,athlete_elisabeth-clay-f,F,+60KG,2022
35086,winner,Amy Campo,Amy Campo,athlete_amy-campo-f,F,+60KG,2022
35086,loser,Gabrielle Garcia,Gabrielle Garcia,athlete_gabrielle-garcia-f,F,+60KG,2022
1665,winner,Andre Galvao,Andre Galvao,athlete_andre-galvao-m,M,ABS,2007
1665,loser,Fabricio Werdum,Fabricio Werdum,athlete_fabricio-werdum-m,M,ABS,2007
3297,winner,Andre Galvao,Andre Galvao,athlete_andre-galvao-m,M,88KG,2011
3297,loser,Rousimar Palhares,Rousimar Palhares,athlete_rousimar-palhares-m,M,88KG,2011
3315,winner,Andre Galvao,Andre Galvao,athlete_andre-galvao-m,M,ABS,2011
3315,loser,Sergio Moraes,Sergio Moraes,athlete_sergio-moraes-m,M,ABS,2011
3316,winner,Andre Galvao,Andre Galvao,athlete_andre-galvao-m,M,ABS,2011
3316,loser,Murilo Santana,Murilo Santana,athlete_murilo-santana-m,M,ABS,2011
3319,winner,Andre Galvao,Andre Galvao,athlete_andre-galvao-m,M,ABS,2011
3319,loser,Pablo Popovitch,Pablo Popovitch,athlete_pablo-popovitch-m,M,ABS,2011
5067,winner,Andre Galvao,Andre Galvao,athlete_andre-galvao-m,M,ABS,2013
5067,loser,Braulio Estima,Braulio Estima,athlete_braulio-estima-m,M,ABS,2013
8000,winner,Andre Galvao,Andre Galvao,athlete_andre-galvao-m,M,ABS,2015
8000,loser,Roberto Abreu,Roberto Abreu,athlete_roberto-abreu-m,M,ABS,2015
21916,winner,Andre Galvao,Andre Galvao,athlete_andre-galvao-m,M,ABS,2019
21916,loser,Felipe Pena,Felipe Pena,athlete_felipe-pena-m,M,ABS,2019
3233,winner,Augusto Mendes,Augusto Mendes,athlete_augusto-mendes-m,M,77KG,2011
3233,loser,Vagner Rocha,Vagner Rocha,athlete_vagner-rocha-m,M,77KG,2011
7965,winner,Augusto Mendes,Augusto Mendes,athlete_augusto-mendes-m,M,66KG,2015
7965,loser,Edward Cummings,Edward Cummings,athlete_edward-cummings-m,M,66KG,2015
7970,winner,Augusto Mendes,Augusto Mendes,athlete_augusto-mendes-m,M,66KG,2015
7970,loser,Geovanny Martinez,Geovanny Martinez,athlete_geovanny-martinez-m,M,66KG,2015
21863,winner,Augusto Mendes,Augusto Mendes,athlete_augusto-mendes-m,M,66KG,2019
21863,loser,Keith Krikorian,Keith Krikorian,athlete_keith-krikorian-m,M,66KG,2019
21872,winner,Augusto Mendes,Augusto Mendes,athlete_augusto-mendes-m,M,66KG,2019
21872,loser,Matheus Gabriel Barros,Matheus Gabriel Barros,athlete_matheus-gabriel-barros-m,M,66KG,2019
503,winner,Baret Yoshida,Baret Yoshida,athlete_baret-yoshida-m,M,66KG,2001
503,loser,Alexandre de Freitas,Alexandre de Freitas,athlete_alexandre-de-freitas-m,M,66KG,2001
771,winner,Baret Yoshida,Baret Yoshida,athlete_baret-yoshida-m,M,66KG,2003
771,loser,Alexandre de Freitas,Alexandre de Freitas,athlete_alexandre-de-freitas-m,M,66KG,2003
21896,winner,Augusto Mendes,Augusto Mendes,athlete_augusto-mendes-m,M,66KG,2019
21896,loser,Paulo Miyao,Paulo Miyao,athlete_paulo-miyao-m,M,66KG,2019
35043,winner,Elder Cruz,Elder Cruz,athlete_elder-cruz-m,M,99KG,2022
35043,loser,Patrick Gaudio,Patrick Gaudio,athlete_patrick-gaudio-m,M,99KG,2022
34998,winner,Fabricio Andrey,Fabricio Andrey,athlete_fabricio-andrey-m,M,66KG,2022
34998,loser,Cole Abate,Cole Abate,athlete_cole-abate-m,M,66KG,2022
