match_id,role,raw_name,canonical_athlete_id
21826,winner,Lucas Daniel Barbosa,athlete_lucas-daniel-barbosa-m
21826,loser,Perttu Tepponen,athlete_perttu-tepponen-m
21834,winner,Lucas Daniel Barbosa,athlete_lucas-daniel-barbosa-m
21834,loser,Patrick Gaudio,athlete_patrick-gaudio-m
35027,winner,Lucas Daniel Barbosa,athlete_lucas-daniel-barbosa-m
35027,loser,Santeri Lilius,athlete_santeri-lilius-m
35035,winner,Lucas Daniel Barbosa,athlete_lucas-daniel-barbosa-m
35035,loser,Josh Hinger,athlete_josh-hinger-m
35039,winner,Lucas Daniel Barbosa,athlete_lucas-daniel-barbosa-m
35039,loser,Vagner Rocha,athlete_vagner-rocha-m
21844,winner,Matheus Diniz,athlete_matheus-diniz-m
21844,loser,Pedro Marinho,athlete_pedro-marinho-m
21848,winner,Matheus Diniz,athlete_matheus-diniz-m
21848,loser,Gabriel Arges,athlete_gabriel-arges-m
21889,winner,Matheus Diniz,athlete_matheus-diniz-m
21889,loser,Josh Hinger,athlete_josh-hinger-m
21891,winner,Matheus Diniz,athlete_matheus-diniz-m
21891,loser,Craig Jones,athlete_craig-jones-m
21865,winner,Matheus Gabriel Barros,athlete_matheus-gabriel-barros-m
21865,loser,Geovanny Martinez,athlete_geovanny-martinez-m
427,winner,Marcio Feitosa,athlete_marcio-feitosa-m
427,loser,Leonardo Vieira,athlete_leonardo-vieira-m
516,winner,Marcio Feitosa,athlete_marcio-feitosa-m
516,loser,Rodrigo Gracie,athlete_rodrigo-gracie-m
5050,winner,Marcus Almeida,athlete_marcus-almeida-m
5050,loser,Roberto Abreu,athlete_roberto-abreu-m
5052,winner,Marcus Almeida,athlete_marcus-almeida-m
5052,loser,Joao Gabriel Rocha,athlete_joao-gabriel-rocha-m
5061,winner,Marcus Almeida,athlete_marcus-almeida-m
5061,loser,Gary Tonon,athlete_gary-tonon-m
5063,winner,Marcus Almeida,athlete_marcus-almeida-m
5063,loser,Dean Lister,athlete_dean-lister-m
13853,winner,Marcus Almeida,athlete_marcus-almeida-m
13853,loser,Tim Spriggs,athlete_tim-spriggs-m
13857,winner,Marcus Almeida,athlete_marcus-almeida-m
13857,loser,Roberto Abreu,athlete_roberto-abreu-m
13859,winner,Marcus Almeida,athlete_marcus-almeida-m
13859,loser,Orlando Sanchez,athlete_orlando-sanchez-m
13938,winner,Marcus Almeida,athlete_marcus-almeida-m
13938,loser,Mahamed Aly,athlete_mahamed-aly-m
21815,winner,Marcus Almeida,athlete_marcus-almeida-m
21815,loser,Antonio Braga Neto,athlete_antonio-braga-neto-m
21900,winner,Marcus Almeida,athlete_marcus-almeida-m
21900,loser,Keith Krikorian,athlete_keith-krikorian-m
21912,winner,Marcus Almeida,athlete_marcus-almeida-m
21912,loser,Mahamed Aly,athlete_mahamed-aly-m
2240,winner,Rafael Mendes,athlete_rafael-mendes-m
2240,loser,Leonardo Vieira,athlete_leonardo-vieira-m
2242,winner,Rafael Mendes,athlete_rafael-mendes-m
2242,loser,Rubens Charles,athlete_rubens-charles-m
3281,winner,Rafael Mendes,athlete_rafael-mendes-m
3281,loser,Robson Moura,athlete_robson-moura-m
